smiles,u0_atom
C#CCOC=O,-1074.69
C=CCC(=O)O,-1245.3
C#CCC(=O)O,-1088.49
C1=NOC2CC12,-1127.5
C1COCCN1,-1432.23
C1=NOCCC1,-1273.48
C1NC1C1CO1,-1262.72
C1NCC2OC12,-1284.31
C1OCC2NC12,-1280.77
C1=CCON=C1,-1131.83
C=CC(C)(C)C,-1751.53
Cc1ccno1,-1163.99
CC1CC=NO1,-1280.19
Cc1ccon1,-1162.86
CC1CC(=O)N1,-1316.81
CC1CN1C=O,-1285.8
CC1C(N)C1O,-1416.59
CC1CNC1=O,-1315.29
CC1(CN)CO1,-1418.65
Cc1cnoc1,-1160.27
C#CC(C)(C)C,-1596.25
CC1(CO)CN1,-1417.58
C=C1C=NOC1,-1137.56
CC1C=NOC1,-1277.57
CC1NC1CO,-1420.32
CC1NC1C=O,-1288.11
CC1NCC1O,-1418.86
CC1(N)CC1O,-1421.61
CC1NCC1=O,-1293.02
C=C(C)C(C)C,-1753.72
CC1(N)COC1,-1418.76
CC1=NOCC1,-1282.77
CC1OC1CN,-1420.67
CC1OC1C#N,-1153.6
CC1OCC1N,-1417.09
CC1(O)CC1N,-1422.13
CC1(O)CNC1,-1416.3
C[CH]C=C[N]O,-1272.45
CC=CC(N)=O,-1324.45
[CH2]C(C)=C[N]O,-1267.53
C=CCC(C)C,-1751.69
C=C(C)C(N)=O,-1322.1
C=CC(C)=NO,-1264.5
CC(C)[CH][N]O,-1410.52
CC(C)C(N)=O,-1463.49
CC#C[CH][N]O,-1113.95
CC#CC(N)=O,-1166.9
CCC(C)=NO,-1414.07
CCC[CH][N]O,-1409.78
CCCC(N)=O,-1464.5
C=CCNC=O,-1308.78
C#CCC(C)C,-1596.57
CC(C=O)=CN,-1307.99
CC(C)(N)CO,-1573.02
CC(C)NC=O,-1456.9
CC(CN)CO,-1566.53
CCC(N)CO,-1571.53
CCCNC=O,-1455.05
CC[CH][N]OC,-1400.78
C=C(C#N)C=O,-1029.4
C#CC(C)C#C,-1291.01
CC1C(C)C1C,-1749.64
C=CC(=O)C#N,-1026.67
CC(C#N)C=O,-1169.74
CC(C)(O)CN,-1574.89
CC(C)(O)C#N,-1306.83
CC(C#N)CO,-1306.57
CCC(=O)C#N,-1170.86
CCC(O)CN,-1572.85
CCC(O)C#N,-1304.14
[CH2][N]OCC=C,-1251.48
[CH2][N]OC(C)C,-1400.71
CC#CC(C)C,-1602.41
CCC(=O)NC,-1458.71
[CH2][N]OCCC,-1398.26
CC(N)C1CO1,-1415.86
CCNCCO,-1564.2
CC(N)CCO,-1572.81
CC(N)=CC=O,-1310.34
CC(N)C(C)O,-1574.49
CCN(C)C=O,-1449.59
CCNC(C)=O,-1460.93
CCNCC=O,-1429.46
C=C(C)C#CC,-1460.11
C#CC(C)=NO,-1111.83
CC(=O)C1CN1,-1291.64
CC(O)C1CN1,-1421.83
CCOCCN,-1561.49
C=COCC#N,-1151.59
CC(=O)C=CN,-1313.99
CC(=O)CC#N,-1178.33
CC(O)CCN,-1572.56
CC(O)CC#N,-1307.18
CCOCC#N,-1294.72
CC#CC#CC,-1312.57
CC(=O)N1CC1,-1286.23
C[CH][N]OCC,-1404.28
CN1CC1CO,-1412.01
CN1CC1C=O,-1279.99
CN1CCC1=O,-1311.86
CN1CC(=O)C1,-1286.29
CN1CC(O)C1,-1411.62
CNC1CC1O,-1414.65
CNC1COC1,-1406.71
C=CCC#CC,-1455.92
CNCC1CO1,-1408.96
CNCCCO,-1564.59
C=CN(C)C=O,-1310.11
CN(C)CCO,-1557.42
CC(=O)N(C)C,-1451.06
CN(C)CC=O,-1422.95
CNC(C)CO,-1562.62
CNC(C)C=O,-1430.54
CNCC(C)O,-1562.96
C#CCC#CC,-1297.64
CNCC(C)=O,-1434.93
CNCCC=O,-1429.78
CNCCOC,-1552.49
C=CC(=O)NC,-1314.44
C#CC(=O)NC,-1150.82
[CH2][N]OC1CC1,-1248.65
C#CCO[N][CH2],-1093.04
COC1CC1N,-1409.64
COC1CNC1,-1405.02
COCC1CN1,-1407.21
CCC=CCC,-1753.91
COCCCN,-1558.01
COC=CCN,-1419.65
COC=CC#N,-1159.43
C=C(CN)OC,-1420.3
C=C(C#N)OC,-1153.89
COC(C)CN,-1559.8
COC(C)C#N,-1292.28
COCC(C)N,-1559.47
COCCC#N,-1296.55
CON=C(C)C,-1405.97
CCC=C(C)C,-1755.73
[CH2]C=C[N]OC,-1259.54
C#C[CH][N]OC,-1097.08
NC1CC1CO,-1423.42
NC1CCC1O,-1421.68
Nc1ccco1,-1180.38
Nc1ccoc1,-1174.72
NC1CCOC1,-1435.56
NC1CC(O)C1,-1419.64
NC1(CO)CC1,-1423.25
NC1C=COC1,-1295.84
C=CC=CCC,-1614.03
NCC1CC1O,-1416.38
NCC1CCO1,-1418.68
N#CC1CCO1,-1151.67
NCC1COC1,-1416.05
N#CC1COC1,-1152.69
NCC1(O)CC1,-1422.97
NCCC1CO1,-1416.13
N#CCC1CO1,-1152.1
NCCCCO,-1570.8
NCC=CCO,-1424.38
C#CC=CCC,-1455.97
C=C(CN)CO,-1423.83
NCC#CCO,-1266.14
C=CC(N)CO,-1424.98
C#CC(N)CO,-1265.94
C=CC(O)CN,-1426.32
C#CC(O)CN,-1267.5
C=COCCN,-1420.77
NC(=O)C1CC1,-1315.91
C=CCC(N)=O,-1318.65
C#CCC(N)=O,-1162.19
C=C(CC)CC,-1753.05
CC1CCCC1,-1769.38
N#CC1CC1O,-1159.21
O=C1CCCN1,-1335.4
O=C1CC=CN1,-1193.68
Oc1ccc[nH]1,-1188.12
OC1CCNC1,-1437.1
O=C1CCNC1,-1311.6
Oc1cc[nH]c1,-1185.2
O=C1C=CCN1,-1194.72
C=CC(=C)CC,-1611.96
OCC1CCN1,-1417.79
O=CC1CCN1,-1284.67
OCC1CNC1,-1412.16
O=CC1CNC1,-1278.45
OCCC1CN1,-1417.04
O=CCC1CN1,-1285.83
C#CC(=O)C#N,-861.3
N#CC=CC=O,-1032.07
N#CC#CC=O,-857.15
N#CCCC=O,-1174.94
C#CC(=C)CC,-1454.71
C=CC(O)C#N,-1155.49
C#CC(O)C#N,-993.41
N#CC=CCO,-1162.12
C=C(C#N)CO,-1159.98
N#CC#CCO,-992.26
N#CCCCO,-1307.02
OCCN1CC1,-1409.71
O=CCN1CC1,-1277.49
O=CN1CCC1,-1303.46
O=CNC1CC1,-1306.67
CC=C(C)CC,-1755.04
C#CCNC=O,-1151.39
On1cccc1,-1146.37
O[N][CH]C1CC1,-1260.78
C=CC[CH][N]O,-1264.37
C#CC[CH][N]O,-1107.23
Cc1cccs1,-1275.91
Cc1ccns1,-1149.68
Cc1ccsc1,-1276.1
Cc1ccsn1,-1151.19
C=CC(C)CC,-1751.31
Cc1cnsc1,-1148.94
CCS(C)(=O)=O,-1267.3
C=CS(C)(=O)=O,-1116.89
C#CS(C)(=O)=O,-944.51
Nc1cccs1,-1147.2
C#CC(C)CC,-1595.31
Nc1ccsc1,-1148.36
Oc1cccs1,-1074.92
Oc1ccsc1,-1077.68
O=S1(=O)CCC1,-1123.86
CCC#CCC,-1601.6
C=CC#CCC,-1458.58
C#CC#CCC,-1292.77
CC=CCCC,-1754.18
C=C(C)CCC,-1754.03
CC1(C)CCC1,-1751.01
C=CC(C#N)CC,-1655.38
CCC(C)CCN,-2061.07
CCC(C)=CCN,-1920.8
CCC(C)=CC#N,-1664.61
CCC(C)(C)CN,-2061.19
CCC(C)(C)C#N,-1801.05
CCC(C)C(C)N,-2062
CCC(C)CC#N,-1802
C#CC(C#N)CC,-1495.81
CCC(CC)CN,-2060.31
CC1C=CCC1C,-1924.7
CCC(C#N)CC,-1802.28
CCC#CCCN,-1768.22
CCC#CC(C)N,-1767.49
CCC#CCC#N,-1492.4
CCCC=CCN,-1920.45
CCCC=CC#N,-1660.91
C=C(CN)CCC,-1919.51
C=C(C#N)CCC,-1658.95
CCCC(C)CN,-2061.5
CCCC(C)(C)N,-2064.75
C=C1C=CCC1C,-1787.48
CCCC(C)C#N,-1802.15
CCCC#CCN,-1766.1
CCCC#CC#N,-1494.33
CCCCC(C)N,-2063.98
CCCCCC#N,-1802.11
CCCCCNC,-2056.03
CCC=CCNC,-1914.16
C=C(CC)CNC,-1913.58
CCC(C)CNC,-2055.09
CCC(C)(C)NC,-2055.72
CC1=CCCC1C,-1926.01
CCC(CC)NC,-2055.34
CCC#CCNC,-1759.92
CCCC(C)NC,-2056.74
C[CH]C(C)=C[N]N,-1645.53
CC=CC(C)=NN,-1647.61
CC=CC[CH][N]N,-1638.81
C=C(C)C(C)=NN,-1640.96
C=C(C)C[CH][N]N,-1638.51
C=C1CCCC1C,-1924.09
C=CC(C)[CH][N]N,-1635.47
C[C](C)C=C[N]N,-1646.58
CC(C)(C)[CH][N]N,-1781.77
CC(=NN)C(C)C,-1784.87
CC(C)C[CH][N]N,-1781.51
Cc1ccccc1,-1685.29
C=CCC(C)=NN,-1638.41
C#CCC(C)=NN,-1484.65
CC#CC(C)=NN,-1490.72
CC#CC[CH][N]N,-1482.9
CC[CH]C=C[N]N,-1644.12
[CH2]C(=C[N]N)CC,-1642.35
C=C1CCCCC1,-1928.82
C=CC(CC)=NN,-1640.69
CCC(C)[CH][N]N,-1781.04
CCC(CC)=NN,-1782.84
CCC#C[CH][N]N,-1486.14
CCCC(C)=NN,-1784.25
CCCC[CH][N]N,-1780.07
CCCCN1CC1,-1906.64
C=C1C=CCC=C1,-1653.5
C=CCCN1CC1,-1761.19
C#CCCN1CC1,-1606.14
CC=CCN1CC1,-1763.88
C=C(C)CN1CC1,-1764.01
C=CC(C)N1CC1,-1762.82
CC(C)CN1CC1,-1907.26
CC(C)(C)N1CC1,-1906.36
C#CC(C)N1CC1,-1605.23
CC#CCN1CC1,-1610.14
CCC(C)N1CC1,-1908.02
C=C1C=CC=CC1,-1650.27
CCCCNCC,-2057.83
C#CC(=C)CC#N,-1356.56
C=CC(=CC)CN,-1779.46
C#CC(=CC)CN,-1621.18
C=CC(N)C=CC,-1775.71
C#CC(N)C=CC,-1617.78
CC=CCN(C)C,-1909.21
C=CC(N)C(=C)C,-1774.92
C#CC(N)C(=C)C,-1618.35
C#CC(C)=CC#N,-1362.96
C=C1C=CC(=C)C1,-1650.42
C#CC(C)=CCN,-1622.77
C=CC(C)N(C)C,-1905.03
C=CC(C)(C)CN,-1916.23
C#CC(C)(C)CN,-1761.92
C=CC(N)C(C)C,-1917.23
C#CC(N)C(C)C,-1760.97
CC(C)CN(C)C,-2051.29
C#CC(C)N(C)C,-1747.68
C=CC(C)CC#N,-1656.92
C#CC(C)CC#N,-1499.45
C=C1CC=CCC1,-1779.67
C1CCC2CC2C1,-1917.6
C=CC(C)CCN,-1917.82
C#CC(C)CCN,-1761.37
C=CC(N)C#CC,-1621.59
C#CC(N)C#CC,-1462.48
CC#CCN(C)C,-1755.53
CCC(C)(N)CC,-2063.28
C=CC(C)(N)CC,-1919.22
C#CC(C)(N)CC,-1761.44
CCC(C)N(C)C,-2049.73
CC=C(CC)CN,-1920.21
C=C1CCC(=C)C1,-1781.25
C=CC(CC)CN,-1916.76
C#CC(CC)CN,-1761.46
CCCC(N)CC,-2063.64
C=CC(N)CCC,-1917.15
C#CC(N)CCC,-1760.89
CCCCN(C)C,-2050.74
C=C(C#N)CC#N,-1262.53
C=CC(C#N)C#N,-1253.44
C=C1C=CCCC1,-1790.95
C=CCCNC=N,-1660.82
C#CC(C#N)C#N,-1089.61
CC=C(C#N)C#N,-1264.38
CC=C(CN)CN,-1791.15
CC=CC(N)CN,-1791.51
CC=CCNC=N,-1661.41
C=C(C)C(N)CN,-1791.17
C=C(C)CNC=N,-1660.55
CC(C#N)=CC#N,-1268.07
CC1=CCCCC1,-1929.19
CC(C)(C)NC=N,-1805.7
CC(C)(C#N)C#N,-1402.64
CC(C)(CN)CN,-1931.62
CC(C)C(N)CN,-1932.69
CC(C)CNC=N,-1805.44
CC(C#N)CC#N,-1407.43
CC#CC(N)CN,-1640.5
CC#CCNC=N,-1506.88
CC1=C(C)CCC1,-1929.37
CCC(C#N)=CN,-1542.16
CCC(C)(N)CN,-1934.31
CCC(C)NC=N,-1804.98
CCC(C#N)C#N,-1402.49
CCC(CN)CN,-1930.47
CCCC(N)CN,-1933.52
CCCCNC=N,-1805.02
[CH2][N][N][CH]CC=C,-1496.97
[CH2][N]NCCC=C,-1628.38
CC1=C(C)CC=C1,-1792.2
[CH2][N][N]C=C[CH]C,-1506.04
[CH2][N]NCC=CC,-1628.35
[CH2][N][N]C=C([CH2])C,-1505.11
[CH2][N]NCC(=C)C,-1630.44
[CH2]C=C(C)[N][N][CH2],-1503.66
[CH2][N]NC(C)(C)C,-1777.47
[CH2][N][N][CH]C(C)C,-1643.48
[CH2][N]NCC(C)C,-1774.27
[CH2][N][N][CH]C#CC,-1346.38
[CH2][N]NCC#CC,-1477.68
CC1=CC=CCC1,-1786.9
CCC(C)=NNC,-1781.15
[CH2][N][N][C](C)CC,-1645.85
[CH2][N]NC(C)CC,-1774.82
CCC(CN)NC,-1924.57
CCC[CH][N]NC,-1777.07
[CH2][N][N][CH]CCC,-1642.67
CCCC(=N)NC,-1808.45
[CH2][N]NCCCC,-1774.05
CCCN1CC1C,-1909.19
CC(C)N1CC1C,-1912.1
CC1=CC=C(C)C1,-1792.26
CCCN1CCC1,-1906.49
C=CCN1CCC1,-1761.47
C#CCN1CCC1,-1604.1
CC(C)N1CCC1,-1908.46
CCCNC1CC1,-1911.76
C=CCNC1CC1,-1766.88
C=C(C#N)C1CC1,-1511.29
C#CCNC1CC1,-1609.34
CC(C)NC1CC1,-1913.35
CC(C)(N)C1CC1,-1916.97
C=C1C=C(C)CC1,-1791.48
CC(C#N)C1CC1,-1654.27
CC(CN)C1CC1,-1915.82
CCC(N)C1CC1,-1915.66
C=C(C#N)C1CN1,-1376.99
CC(C)(N)C1CN1,-1784.3
CC(C#N)C1CN1,-1520.95
CC(CN)C1CN1,-1783.48
CCC(N)C1CN1,-1783.89
CCCNCCC,-2057.64
C=CCNCC=C,-1767.5
C=C1C=CC(C)=C1,-1651.37
C#CCNCC=C,-1609.93
C#CCNCC#C,-1451.93
C=CCC(C)(C)N,-1919.97
C#CCC(C)(C)N,-1763.56
CC(C)NC(C)C,-2059.67
C=CCNC(C)C,-1914.15
C#CCNC(C)C,-1756.73
C=C(C)C(C)C#N,-1658.1
C=CC=C(C)CN,-1781.3
C#CC=C(C)CN,-1623.7
CC1=CCC(C)=C1,-1791.32
C1CCCCCC1,-2063.19
C=C(C)C(C)CN,-1919.24
C=CCC(C)CN,-1917.09
C#CCC(C)CN,-1762.15
CC=CC(N)CC,-1920.55
CCC(N)C(C)C,-2062.03
C=C(C)C(N)CC,-1919.56
CC#CC(N)CC,-1767.83
C=CCC(N)CC,-1918.68
C#CCC(N)CC,-1763.61
C=CC(CC)NC,-1911.52
CC1=CCC=CC1,-1790.57
C#CC(CC)NC,-1755.5
CCCN(C)CC,-2050.7
CCCNC(C)C,-2059.13
C=CCNCCC,-1912.68
C#CCNCCC,-1755.19
CCCNCCN,-1927.87
C=CCNCC#N,-1520.29
C#CCNCC#N,-1362.1
CC=CN(C)C=N,-1659.99
C=C1CC=C(C)C1,-1785.88
CC(C)NCCN,-1929.2
CC(C)(N)CCN,-1935.18
CC(C)N(C)C=N,-1799.65
CC(=N)NC(C)C,-1810.76
CC(C)NCC#N,-1667.3
CC(CN)CCN,-1932.28
CC(=CCN)CN,-1791.28
CCC(N)CCN,-1934.1
CCC(N)=CC#N,-1546.79
CC1=CCCC=C1,-1786.2
CCC(N)C(C)N,-1934.81
CCC(C#N)NC,-1665.58
CCCN(C)C=N,-1797.33
CCCNC(C)=N,-1809.31
CCCNCC#N,-1665.73
[CH2][N]N(C)C(C)C,-1762.62
CCC(N)CNC,-1927.34
CCC(=NC)NC,-1799.4
CCC[N][CH]NC,-1798.5
CC1(C)C=CC=C1,-1785.51
[CH2][N]N(C)CCC,-1763.12
[CH2]C=C[N]N1CC1,-1484.14
C=CC(=N)N1CC1,-1503.72
C#C[CH][N]N1CC1,-1321.23
C[C](C)[N]N1CC1,-1629.46
CC(C#N)N1CC1,-1513.99
CC(CN)N1CC1,-1777.9
CC[CH][N]N1CC1,-1625.29
CC1(C)CC=CC1,-1924.91
CCC(=N)N1CC1,-1646.07
C#CC(C)[CH][N]N,-1479.3
CC(C#N)N(C)C,-1656.71
CC(CN)N(C)C,-1919.15
C[CH][N][N][CH]CC,-1649.78
CC[CH][N]N(C)C,-1767.82
CCC(=N)N(C)C,-1798.04
C#CC(CC)=NN,-1481.01
C[CH][N]NCCC,-1779.47
CC1(C)C=CCC1,-1924.95
CCN1CC1(C)C,-1909.85
C=CC1CN1CC,-1762.39
C#CC1CN1CC,-1607.48
CCN1CC1CN,-1779.55
CCN1CC1C#N,-1515.86
CCN1CCC1C,-1909.91
CCN1C(C)C1C,-1909.19
CCn1cccc1,-1677.17
C=Cn1cccc1,-1534.34
CCN1CCCC1,-1928.68
CC1=CC(C)C=C1,-1787.78
CCN1CC=CC1,-1785.38
CCN1CC(C)C1,-1908.86
CCn1cccn1,-1546.96
C=Cn1cccn1,-1402.19
CCN1CCC=N1,-1654.61
C=CN1C=NCC1,-1531.07
CCN1CC(N)C1,-1778.75
CCN1C=NCC1,-1672.03
CC1C=CCC=C1,-1787.35
CCNC1CC1C,-1913.2
CC(N)C1CC1C,-1918.51
CCNC1CC1N,-1783.05
CC(N)C1CC1N,-1788.4
CCNC1CCC1,-1907.16
CC(N)C1CCC1,-1916.69
CC(N)C1(C)CC1,-1917.88
CCNC1(C)CC1,-1913.05
CC(N)C1CCN1,-1785.21
CC(N)C1(C)CN1,-1785.27
CC1=CCC(C)C1,-1926.32
CC(N)C1CN1C,-1779.25
CCNC1CNC1,-1768.66
CC(N)C1CNC1,-1779.6
CC(N)C1NC1C,-1786.63
CC(N)C1(N)CC1,-1790.14
CCNCC1CC1,-1911.07
CC(N)CC1CC1,-1916.73
CCN(C)C1CC1,-1905
CCNCC1CN1,-1778.36
CC(N)CC1CN1,-1783.97
CC1C=CC=CC1,-1785.49
CC12CCCC1C2,-1918.71
C=CC(C)(N)C=C,-1773.82
C#CC(C)(N)C=C,-1617.42
C#CC(C)(N)C#C,-1457.1
CC(C)=CC(C)N,-1922.71
C=CC=CC(C)N,-1781.29
C#CC=CC(C)N,-1622.39
C=CC(=C)C(C)N,-1777.36
C#CC(=C)C(C)N,-1621.02
CC(N)C(C)(C)C,-2061.92
C=CC(C)C(C)N,-1917.92
C=C1C=CC(C)C1,-1787.31
C#CC(C)C(C)N,-1760.54
C=CC#CC(C)N,-1624.19
C#CC#CC(C)N,-1458.09
C=C(C)CC(C)N,-1921.45
C=CCCC(C)N,-1919.28
C#CCCC(C)N,-1764.35
CCN(C)C(C)C,-2049.91
C=CCN(C)CC,-1906.02
C#CCN(C)CC,-1750.39
CCN(CC)CC,-2050.09
CC1C=CC(C)C1,-1924.83
CCNC(C)CC,-2057.81
CCNC(C)(C)C,-2058.97
C=CC(C)NCC,-1913.79
C#CC(C)NCC,-1757.72
CC=CCNCC,-1916.15
CCNCC(C)C,-2058.35
C=C(C)CNCC,-1916.03
CC#CCNCC,-1762.25
C=CCCNCC,-1913.01
C#CCCNCC,-1757.68
CC1CC=CCC1,-1920.19
CCNCCCN,-1928.5
C=CN(C=C)C=N,-1515.35
CC(N)CCCN,-1934.27
CC(N)=C(C)C#N,-1546.78
CC(N)C=CCN,-1791.17
C=C(CN)C(C)N,-1789.77
CC(N)C(C)CN,-1932.33
CC(N)C(C)(C)N,-1936.69
CC(N)C#CCN,-1635.84
CC(N)CC(C)N,-1935.47
C=C1CCC(C)C1,-1924.23
C=CN(C=N)CC,-1659.04
CCN(C)CCN,-1920.21
CCN(C)C(C)=N,-1798.98
CCN(C)CC#N,-1659.76
CCN(C=N)CC,-1799.4
CCNC(C)CN,-1929.11
CCNC(C)C#N,-1667.49
CCNCC(C)N,-1929.24
CCNCCC#N,-1667.61
CC1=CC(C)CC1,-1928.18
CCNCCNC,-1921.53
CCN=C(C)NC,-1803.75
CCN(C)[CH][N]C,-1793.06
[CH2][N]N(CC)CC,-1763.37
CC(N)CN1CC1,-1777.96
CC[N][CH]N1CC1,-1637.22
C=CC(C)(N)CN,-1790.09
CC1C=CCCC1,-1927.95
C#CC(C)(N)CN,-1634.77
C=CC(N)C(C)N,-1788.97
C#CC(N)C(C)N,-1630.2
CC(N)CN(C)C,-1922.02
C=CC(C)NC=N,-1658.75
C#CC(C)NC=N,-1501.13
CC[N][CH]N(C)C,-1793.48
C[CH][N]N(C)CC,-1769.91
CC[N][CH]NCC,-1801.31
C=CC1CC1C=C,-1752.67
CCNC(=N)CC,-1809.36
C=CC(=N)NCC,-1663.75
C#CC(=N)NCC,-1503.76
CC(C#N)NC=N,-1408.81
CCNC(=N)C#N,-1410.34
C[CH][N]N1CC1C,-1628.75
C[CH][N]N1CCC1,-1620.97
CC(=N)N1CCC1,-1656.51
C#CC1CC1C=C,-1599.99
C[CH][N]NC1CC1,-1631.65
CC(=N)NC1CC1,-1661.76
CC(=NN)C1CC1,-1636.38
C[CH][N][N][C](C)C,-1654
[CH2]C=C[N][N][CH]C,-1508.75
C#C[CH][N][N][CH]C,-1345.67
C[CH][N]NC(C)C,-1781.68
C=CCN[N][CH]C,-1634.06
C#CCN[N][CH]C,-1476.28
C=CCNC(C)=N,-1664.72
C#CC1CC1C#C,-1446.52
C#CCNC(C)=N,-1507.74
C#C[C](C)[N][N][CH2],-1343.14
[CH2][N]NC(C)C=C,-1630.09
C#CC(C)N[N][CH2],-1472.1
CC[CH][N]NCC,-1779.04
CCNN=C(C)C,-1784.41
[CH2]C=C[N]NCC,-1639.68
C#C[CH][N]NCC,-1476.52
C[CH][N][N][CH]C#N,-1252.2
C[CH][N]NCC#N,-1384.38
C=CC1CC1CC,-1899.39
CC12CCC(C1)C2,-1914.48
CC(=N)NCC#N,-1415.86
[CH2][N][N][C](C)C#N,-1249.4
[CH2][N]NC(C)C#N,-1378.33
CCN[N][CH]C#N,-1379.89
CN1C2C=CC1C2,-1612.35
CN1C2CCC1C2,-1770.08
CN1C2CCCC21,-1774.48
CN1C2C=CCC21,-1634.23
CN1C2CNCC21,-1638.73
CN1CC1C1CC1,-1759.37
C#CC1CC1CC,-1747.29
CN1CC1C1CN1,-1626.8
C=C(C)C1CN1C,-1764.35
C=CCC1CN1C,-1762.7
C#CCC1CN1C,-1605.88
CN1CC1CCN,-1778.39
CN1CC1(C)CN,-1778.08
CN1CC1CC#N,-1515.95
CN1CC2CC1C2,-1771.05
CN1CC2CC2C1,-1774.35
CN1CC2NC2C1,-1641.79
C=CC1CCCC1,-1919.85
C=CC1CN(C)C1,-1760.52
C#CC1CN(C)C1,-1606.29
CN1CCC1(C)C,-1910.33
C=CC1CCN1C,-1760.18
C#CC1CCN1C,-1605.09
CN1CCC1CN,-1778.35
CN1CC(C#N)C1,-1515.88
CN1CCC1C#N,-1514.79
CN1CCC2CC21,-1775.1
Cn1cccc1N,-1547.56
C=CC1=CCCC1,-1786.94
CN1C=CCC1=N,-1540.02
CN1C[CH]C=C1[NH],-1538.28
CN1CCC[C]1[NH],-1678.68
CN1CCCCC1,-1928.73
CC1=CCN(C)C1,-1784.7
CN1CC(C)(C)C1,-1908.95
CN1CC=CCC1,-1786.09
C=C1CCN(C)C1,-1785.82
CN1CC=CC=N1,-1513.2
C=C1C=NN(C)C1,-1514.55
C=CC1=CC=CC1,-1649.39
CC1=NN(C)CC1,-1658.68
CN1CCCC=N1,-1654.97
Cn1ccc(N)c1,-1546.19
CN1C=CCN=C1,-1533.55
CN1CC(C)(N)C1,-1781.22
CN1CC(CN)C1,-1777.5
CN1CCC(N)C1,-1799.97
CN1C=NCCC1,-1673.22
CC1=NCCN1C,-1673.08
CN1CCNCC1,-1793.03
C=CC1=CCC=C1,-1647.73
CN1C=NC2CC21,-1521.24
C=C1CN=CN1C,-1534.19
CN1N=CC2CC21,-1505.19
CNC1CC1(C)C,-1912.92
C=CC1CC1NC,-1765.12
C#CC1CC1NC,-1612.12
CNC1CC1CN,-1781.92
CNC1CC1(C)N,-1783.29
CNC1CC1C#N,-1521.81
CNC1CC1NC,-1775.44
C=CC1C=CC=C1,-1639.01
CNC1CCC1C,-1906.86
CNC1(C)CC1C,-1910.13
CNC1C(C)C1C,-1911.44
CNC1CCC1N,-1772.5
CNC1(C)CC1N,-1781.33
CNC1C(C)C1N,-1781.56
CNC1CCCC1,-1930.18
CNC1(C)CCC1,-1908.05
CNC1C=CC=C1,-1645.9
CNC1CC=CC1,-1789.03
C=CC1CC=CC1,-1777.48
CNC1CC(C)C1,-1907.53
CNC1C=CCC1,-1788.4
CN=C1CCCN1,-1677.9
CN=C1CC=CN1,-1537.97
CNc1ccc[nH]1,-1546.86
CNC1CCNC1,-1796.21
CNC1(C)CNC1,-1771.71
CNC1CC(N)C1,-1777.57
CNc1cc[nH]c1,-1545.06
C=CC1C=CCC1,-1778.55
CNC1CNC1C,-1771.56
CNC1(CN)CC1,-1779.91
CNC1CN(C)C1,-1765.87
CN=C1C=CCN1,-1536.97
CNCC1CC1C,-1910.69
CNCC1CC1N,-1780.49
CN(C)C1CC1N,-1776.73
CNCC1CCC1,-1909.13
CN(C)C1CCC1,-1901.27
CN(C)C1(C)CC1,-1902.25
C#CC1CCCC1,-1764.64
CNCC1(C)CC1,-1911.2
CNCC1CCN1,-1777.44
CNCC1(C)CN1,-1779.09
CNCC1CN1C,-1772.08
CNCC1CNC1,-1771.9
CN(C)C1CNC1,-1764.28
CNCC1NC1C,-1778.2
CNCC1(N)CC1,-1780.39
CNCCC1CC1,-1909.24
CN(C)CC1CC1,-1904.2
C#CC1=CCCC1,-1628.79
CC1C2CCC1C2,-1911.76
CNC(C)C1CC1,-1910.97
CNCCC1CN1,-1776.93
CN(C)CC1CN1,-1771.14
CNC(C)C1CN1,-1778.08
CN(C)C(C)(C)C,-2048.32
C=C(C)CN(C)C,-1909.28
C=CCCN(C)C,-1905.71
C#CCCN(C)C,-1750.31
C=CC(C=C)NC,-1766.81
C#CC(C=C)NC,-1608.42
C#CC1=CC=CC1,-1491.94
C=CC(C)(C)NC,-1911.6
C#CC(C)(C)NC,-1753.66
CC=CC(C)NC,-1915.38
CNC(C)C(C)C,-2055.72
C=C(C)C(C)NC,-1914.62
CC#CC(C)NC,-1761.56
C=CCC(C)NC,-1911.24
C#CCC(C)NC,-1756.95
C#CC(C#C)NC,-1448.23
CNCC=C(C)C,-1916.01
C#CC1=CCC=C1,-1490.06
C=CC=CCNC,-1774.15
C#CC=CCNC,-1615.78
C=CC(=C)CNC,-1771.51
C#CC(=C)CNC,-1613.92
CC=C(C)CNC,-1915.62
CNCC(C)(C)C,-2056.68
C=CC(C)CNC,-1911.04
C#CC(C)CNC,-1755.56
C=CC#CCNC,-1616.75
C#CC#CCNC,-1450.41
C#CC1C=CC=C1,-1482.1
CC=CCCNC,-1914.32
CNCCC(C)C,-2055.96
C=C(C)CCNC,-1914.11
CC#CCCNC,-1762.49
C=CCCCNC,-1911.3
C#CCCCNC,-1755.68
CNCCCCN,-1926.68
C=CN(C)C(C)=N,-1658.42
CN(C)CCCN,-1920.96
CN(C)C=CC#N,-1529.05
C#CC1CC=CC1,-1622.97
CN(C)CCC#N,-1660.33
C=CCN(C)C=N,-1652.54
C#CCN(C)C=N,-1495.04
C=CC(C#N)NC,-1517.35
CNC(C)CCN,-1927.05
CNC(C)(C)CN,-1926.53
CNC(C)(C)C#N,-1663.07
CNC(C)C(C)N,-1927.35
C#CC1C=CCC1,-1622.33
CNC(C)CC#N,-1667.04
C#CC(C#N)NC,-1355.63
